"Part";"Value";"Device";"Package";"Description";"";
"C1";"100uF";"CPOL-EUE5-8.5";"E5-8,5";"POLARIZED CAPACITOR, European symbol";"";
"C2";"100uF";"CPOL-EUE5-8.5";"E5-8,5";"POLARIZED CAPACITOR, European symbol";"";
"C3";"0.1uF";"C-EU050-030X075";"C050-030X075";"CAPACITOR, European symbol";"";
"C4";"0.1uF";"C-EU050-030X075";"C050-030X075";"CAPACITOR, European symbol";"";
"C5";"10uF";"C-EU050-030X075";"C050-030X075";"CAPACITOR, European symbol";"";
"C6";"10uF";"C-EU050-030X075";"C050-030X075";"CAPACITOR, European symbol";"";
"C7";"0.1uF";"C-EU050-030X075";"C050-030X075";"CAPACITOR, European symbol";"";
"C8";"100uF";"CPOL-EUE5-8.5";"E5-8,5";"POLARIZED CAPACITOR, European symbol";"";
"C9";"10uF";"C-EU050-030X075";"C050-030X075";"CAPACITOR, European symbol";"";
"IC1";"PGA2311P";"PGA2311P";"DIL16";"";"";
"J3";"";"MTA04-156";"1X4MTA";"AMP connector";"";
"L1";"100uH";"82114R";"82114R";"INDUCTOR";"";
"L2";"100uH";"82114R";"82114R";"INDUCTOR";"";
"R1";"2k";"R-US_0411/15";"0411/15";"RESISTOR, American symbol";"";
"R2";"2k";"R-US_0411/15";"0411/15";"RESISTOR, American symbol";"";
"R4";"100";"R-US_0411/15";"0411/15";"RESISTOR, American symbol";"";
"R5";"100";"R-US_0411/15";"0411/15";"RESISTOR, American symbol";"";
"R6";"10k";"R-US_0411/15";"0411/15";"RESISTOR, American symbol";"";
"R7";"47k";"R-US_0411/15";"0411/15";"RESISTOR, American symbol";"";
"R8";"47k";"R-US_0411/15";"0411/15";"RESISTOR, American symbol";"";
"U$1";"MAU106";"MAU106";"MAU106";"";"";
